lat,lon,pickup_cluster
7.89,120.13,5
9.04,120.24,5
10.19,120.34,5
10.95,120.42,0
11.32,120.52,0
12.43,120.71,0
13.29,120.02,0
14.25,119.59,0
15.02,119.53,0
15.4,119.48,0
16.11,119.4,0
16.8,119.45,0
17.47,119.7,0
17.92,119.87,0
18,119.9,0
18.27,119.99,0
18.53,120.08,0
18.79,120.17,0
18.97,120.23,0
19.01,120.25,0
19.13,120.29,0
19.26,120.33,0
19.38,120.37,0
19.47,120.4,0
19.54,120.43,0
19.78,120.51,0
20.02,120.59,0
20.26,120.67,0
20.42,120.72,0
20.46,120.7,0
20.59,120.64,0
20.73,120.59,0
20.86,120.54,0
20.95,120.5,0
21,120.48,0
21.13,120.43,0
21.27,120.37,0
21.41,120.32,0
21.5,120.28,0
21.55,120.26,0
21.7,120.2,0
21.85,120.14,0
22,120.07,0
22.1,120.03,0
22.14,120.03,0
22.25,120.04,0
22.37,120.04,0
22.48,120.05,0
22.52,120.05,0
22.52,120.18,0
21.88,120.4,0
21.74,121.05,0
22.15,121.32,0
22.32,121.45,0
22.85,121.84,0
23.42,122.12,0
24.02,122.37,0
24.42,122.53,0
24.69,122.61,0
25.52,122.85,0
26.35,123.08,0
27.18,123.32,0
27.73,123.48,0
28.02,123.56,0
28.89,123.81,0
29.76,123.93,0
30.66,123.93,0
31.25,123.93,0
31.59,123.93,0
32.59,123.93,0
33.47,123.52,0
34.23,122.72,0
34.73,122.18,0
34.93,121.85,0
35.02,120.65,0
35.05,119.83,0
14.4,120.53,0
14.06,119.99,0
13.08,120.37,0
13.08,120.37,0
13.08,120.37,0
13.08,120.37,0
13.08,120.37,0
13.07,120.37,0
13.07,120.37,0
13.07,120.37,0
13.07,120.37,0
12.88,120.45,0
11.74,120.94,0
10.58,121.03,0
9.43,120.57,5
8.67,120.27,5
8.23,120.2,5
6.91,119.99,5
5.59,119.76,5
4.28,119.58,5
3.4,119.47,5
2.99,119.41,5
1.75,119.26,5
0.63,118.87,5
0.08,117.75,5
30.27,121.92,0
30.43,122.02,0
29.96,123.47,0
28.59,123.08,0
27.82,122.4,0
27.44,122.05,0
26.3,121.01,0
25.05,120.27,0
23.59,120.01,0
22.73,119.53,0
22.31,119.28,0
21.03,118.52,0
19.75,117.76,0
18.47,117.01,0
17.62,116.52,0
17.2,116.29,0
15.95,115.59,0
14.75,114.83,0
13.63,113.94,0
12.88,113.35,5
12.5,113.05,5
11.75,112.46,5
11.44,112.22,5
10.53,111.51,5
9.61,110.8,5
9,110.33,5
8.68,110.06,5
7.73,109.22,5
6.78,108.4,5
5.83,107.57,5
5.2,107.02,5
4.89,106.72,5
3.94,105.85,5
2.92,105.08,5
1.73,104.59,5
1.43,104.47,5
1.23,103.95,5
1.55,103.05,5
1.93,102.3,5
2.19,101.97,5
2.89,100.93,5
3.75,100.01,5
4.61,99.08,5
5.18,98.47,5
5.5,98.18,5
5.88,97,5
6.15,95.75,5
5.69,94.68,5
4.98,93.88,2
4.83,93.74,2
3.91,92.88,2
2.99,92.02,2
2.07,91.17,2
1.3,90.45,2
1.15,90.31,2
0.23,89.45,2
-0.69,88.6,2
-1.61,87.74,2
-2.53,86.88,2
-3.37,86.11,2
-4.21,85.33,2
-5.04,84.55,2
-5.88,83.77,2
-6.69,83.01,2
-7.49,82.26,2
-8.29,81.5,2
-9.1,80.73,2
-9.88,79.95,2
-10.66,79.16,2
-11.44,78.37,2
-12.22,77.57,2
-12.35,77.43,2
-12.85,76.65,2
-13.37,75.67,2
-13.84,74.65,2
-14.31,73.64,2
-14.38,73.47,2
-14.6,72.77,2
-14.64,72.54,2
-14.89,71.2,2
-15.27,69.9,2
-15.87,68.67,2
-15.97,68.47,2
-16.33,67.31,2
-16.77,65.92,2
-17.21,64.53,2
-17.65,63.13,2
-17.8,62.67,2
-18.11,61.68,2
-18.42,60.7,6
-18.55,60.27,6
-18.93,58.99,6
-19.36,57.72,6
-19.5,57.3,6
-19.83,56.64,6
-20.32,55.64,6
-20.81,54.64,6
-21.3,53.64,6
-21.47,53.3,6
-21.93,52.55,6
-22.63,51.43,6
-23.32,50.3,6
-24.02,49.16,6
-24.25,48.78,6
-24.78,48.06,6
-25.53,46.94,6
-26.02,45.65,6
-26.52,44.35,6
-26.68,43.92,6
-27.06,43.07,6
-27.63,41.8,6
-28.19,40.53,6
-28.76,39.25,6
-28.95,38.82,6
-29.33,37.95,6
-29.9,36.65,6
-30.46,35.33,6
-31.03,34.01,6
-31.32,33.35,6
-31.6,32.69,6
-32.16,31.37,6
-32.72,30.04,6
-33.29,28.71,6
-33.57,28.03,6
-33.77,27.32,6
-34.19,25.89,6
-34.53,24.42,1
-34.7,22.91,1
-34.78,22.15,1
-34.85,21.6,1
-34.98,20.49,1
-35.04,19.38,1
-35.05,18.45,1
-32.27,-51.92,4
-32.32,-50.99,4
-32.38,-49.75,4
-32.42,-49.13,4
-32.44,-48.5,4
-32.5,-47.22,4
-32.55,-45.95,4
-32.61,-44.67,4
-32.63,-44.03,4
-32.66,-43.35,4
-32.71,-41.99,4
-32.77,-40.63,4
-32.82,-39.27,4
-32.85,-38.58,4
-32.88,-37.89,4
-32.93,-36.5,4
-32.99,-35.12,4
-33.05,-33.73,4
-33.07,-33.27,4
-33.11,-32.34,4
-33.16,-30.95,4
-33.22,-29.56,4
-33.28,-28.16,4
-33.3,-27.7,4
-33.34,-26.75,4
-33.4,-25.32,4
-33.46,-23.9,4
-33.52,-22.47,4
-33.53,-22.23,4
-33.58,-21.09,4
-33.63,-19.71,4
-33.69,-18.34,4
-33.74,-16.96,4
-33.75,-16.73,4
-33.8,-15.62,4
-33.86,-14.28,4
-33.91,-12.93,4
-33.97,-11.59,1
-33.98,-11.37,1
-34.03,-10.21,1
-34.09,-8.82,1
-34.15,-7.43,1
-34.21,-6.03,1
-34.22,-5.8,1
-34.26,-4.63,1
-34.32,-3.24,1
-34.38,-1.83,1
-34.43,-0.43,1
-34.49,0.94,1
-34.54,2.31,1
-34.6,3.69,1
-34.65,5.07,1
-34.71,6.47,1
-34.77,7.87,1
-34.82,9.27,1
-34.88,10.67,1
-34.94,12.01,1
-35,13.36,1
-35.05,14.71,1
-35.1,15.83,1
-35.1,16.06,1
-35.09,17.41,1
-35.08,18.77,1
-35.08,20.13,1
-35.17,21.25,1
-35.14,21.49,1
-34.92,22.89,1
-34.61,24.27,1
-34.29,25.64,6
-34.07,26.55,6
-33.96,26.92,6
-33.46,27.91,6
-32.84,28.81,6
-32.21,29.7,6
-31.88,30.35,6
-31.73,30.75,6
-31.27,31.95,6
-30.8,33.14,6
-30.34,34.33,6
-30.03,35.12,6
-29.88,35.51,6
-29.42,36.69,6
-28.97,37.87,6
-28.51,39.03,6
-28.28,39.62,6
-28.07,40.14,6
-27.66,41.19,6
-27.24,42.24,6
-26.83,43.28,6
-26.62,43.8,6
-26.42,44.36,6
-26.03,45.48,6
-25.64,46.6,6
-25.07,47.59,6
-24.72,48.03,6
-24.4,48.56,6
-23.76,49.6,6
-23.12,50.64,6
-22.48,51.67,6
-22.27,52.02,6
-21.85,52.69,6
-21.22,53.68,6
-20.59,54.68,6
-19.96,55.67,6
-19.75,56,6
-19.39,56.66,6
-18.85,57.64,6
-18.31,58.63,6
-17.6,59.48,6
-17.35,59.75,6
-16.96,60.34,2
-16.39,61.23,2
-15.81,62.12,2
-15.23,63,2
-15.13,63.15,2
-14.75,63.73,2
-14.3,64.43,2
-13.85,65.12,2
-13.39,65.82,2
-13.32,65.93,2
-12.86,66.63,2
-12.31,67.46,2
-11.76,68.29,2
-11.21,69.11,2
-11.12,69.25,2
-10.68,69.91,2
-10.15,70.7,2
-9.62,71.5,2
-9.09,72.29,2
-9,72.42,2
-8.56,73.07,2
-8.03,73.85,2
-7.5,74.64,2
-6.97,75.42,2
-6.41,76.25,2
-5.85,77.08,2
-5.29,77.91,2
-4.73,78.73,2
-4.12,79.64,2
-3.51,80.55,2
-2.9,81.46,2
-2.28,82.37,2
-1.66,83.28,2
-1.03,84.2,2
-0.41,85.12,2
0.12,85.88,2
0.23,86.04,2
0.88,87.01,2
1.53,87.97,2
2.18,88.93,2
2.72,89.73,2
2.82,89.89,2
3.45,90.8,2
4.07,91.72,2
4.7,92.64,2
5.22,93.4,2
5.31,93.55,2
5.84,94.46,5
6.2,95.44,5
6.07,96.43,5
5.78,97.07,5
5.61,97.41,5
5.09,98.44,5
4.48,99.4,5
3.63,100.18,5
3.07,100.7,5
2.86,101,5
2.25,101.91,5
1.63,102.81,5
1.07,103.7,5
1.13,103.77,5
1.24,104.05,5
1.36,104.41,5
2.41,104.9,5
3.12,105.22,5
3.46,105.4,5
4.47,105.94,5
5.42,106.58,5
6.29,107.34,5
6.87,107.85,5
7.21,108.06,5
8.22,108.69,5
9.24,109.32,5
10.38,109.61,5
11.17,109.73,5
11.48,109.76,5
12.19,109.81,5
12.44,109.8,5
13.44,109.79,5
14.43,109.77,0
14.6,109.77,0
15.12,109.77,0
15.51,109.76,0
16.56,109.33,0
17.55,108.66,0
18.53,108,0
19.32,108,0
19.69,108,0
20.77,108.19,0
21.3,108.35,0
22.09,113.83,0
21.43,114.29,0
20.4,114.95,0
19.66,115.32,0
19.33,115.58,0
18.32,116.37,0
17.31,117.16,0
16.3,117.94,0
15.63,118.46,0
15.23,118.75,0
14.03,119.6,0
12.87,120.5,0
11.48,120.58,0
10.56,120.47,0
10.06,120.4,5
8.55,120.19,5
7.05,119.99,5
5.55,119.77,5
4.55,119.6,5
4.07,119.54,5
2.61,119.35,5
1.15,119.17,5
0.6,118.11,5
0.48,117.78,5
0.74,118.85,5
1.41,119.18,5
1.79,119.23,5
2.94,119.38,5
4.08,119.54,5
5.22,119.66,5
5.97,119.85,5
6.35,119.91,5
7.5,120.06,5
8.65,120.21,5
9.81,120.36,5
10.57,120.47,0
10.96,120.47,0
12.09,120.77,0
13.08,120.26,0
13.9,119.4,0
14.45,118.83,0
14.71,118.53,0
15.48,117.64,0
16.25,116.75,0
17.02,115.85,0
17.53,115.25,0
17.73,115.02,0
18.32,114.31,0
18.91,113.6,0
19.5,112.89,0
19.89,112.41,0
20.12,112.09,0
20.82,111.11,0
21.43,108.37,0
21.23,108.3,0
19.93,108,0
18.63,108.11,0
17.52,108.85,0
17.02,109.58,0
16.78,109.97,0
16.06,111.14,0
15.52,112.39,0
15.16,113.72,0
14.92,114.6,0
14.76,115.03,0
14.31,116.32,0
13.85,117.6,0
13.39,118.88,0
13.08,119.73,0
12.94,120.14,0
12.1,120.95,0
10.94,120.55,0
9.67,120.45,5
8.83,120.32,5
8.41,120.25,5
7.13,120.04,5
5.86,119.83,5
4.59,119.61,5
3.73,119.55,5
3.27,119.5,5
1.88,119.35,5
0.53,119.03,5
-0.68,118.36,5
-1.37,117.73,5
-1.63,117.35,5
-1.73,116.82,5
-1.72,116.7,5
-2,117.68,5
-2.47,118.27,5
-2.77,118.48,5
-3.81,118.14,5
-4.81,117.5,5
