,pickup_cluster,lat,lon
16547,4,-32.28,-51.78
16548,4,-32.27,-51.92
16549,4,-32.49,-51.28
16550,4,-32.74,-50.15
16551,4,-32.88,-48.98
16552,4,-32.95,-48.4
16553,4,-33.08,-47.74
16554,4,-33.33,-46.42
16555,4,-33.55,-45.09
16556,4,-33.76,-43.75
16557,4,-33.85,-43.08
16558,4,-33.95,-42.37
16559,4,-34.13,-40.94
16560,4,-34.3,-39.51
16561,4,-34.45,-38.07
16562,4,-34.52,-37.37
16563,4,-34.59,-36.64
16564,4,-34.72,-35.18
16565,4,-34.81,-33.73
16566,4,-34.88,-32.27
16567,4,-34.9,-31.78
16568,4,-34.93,-30.82
16569,4,-34.97,-29.38
16570,4,-35.02,-27.94
16571,4,-35.05,-26.5
16572,4,-35.05,-26.02
16573,4,-35.06,-25.07
16574,4,-35.09,-23.65
16575,4,-35.11,-22.23
16576,4,-35.13,-20.81
16577,4,-35.13,-20.33
16578,4,-35.13,-19.41
16579,4,-35.13,-18.01
16580,4,-35.13,-16.62
16581,4,-35.19,-15.23
16582,4,-35.2,-15.0
16583,4,-35.22,-13.85
16584,4,-35.24,-12.48
16585,1,-35.26,-11.1
16586,1,-35.28,-9.73
16587,1,-35.28,-9.5
16588,1,-35.3,-8.3
16589,1,-35.32,-6.87
16590,1,-35.34,-5.43
16591,1,-35.36,-3.99
16592,1,-35.37,-3.75
16593,1,-35.38,-2.58
16594,1,-35.4,-1.17
16595,1,-35.42,0.24
16596,1,-35.43,1.65
16597,1,-35.45,3.12
16598,1,-35.47,4.58
16599,1,-35.5,6.05
16600,1,-35.52,7.52
16601,1,-35.53,8.92
16602,1,-35.55,10.33
16603,1,-35.57,11.74
16604,1,-35.58,13.15
16605,1,-35.61,14.59
16606,1,-35.63,16.03
16607,1,-35.65,17.47
16608,1,-35.67,18.67
16609,1,-35.66,18.87
16610,1,-35.62,20.11
16611,1,-35.58,21.35
16612,1,-35.51,22.59
16613,1,-35.43,23.62
16614,1,-35.42,23.78
16615,1,-35.36,24.78
